FN_ID,FN_TEXT
FN0002,"Body mass index (BMI) equals weight in kilograms divided by height in meters squared. In Health, United States, the National Health and Nutrition Examination Survey (NHANES) variable named Body Mass Index is rounded to one decimal place and is used to assign people to BMI categories. Estimates in this table may differ from other estimates where BMI is directly calculated using NHANES measured weight and height variables. See Appendix II, Body mass index (BMI), available from: https://www.cdc.gov/nchs/data/hus/hus19-appendix-508.pdf."
FN0005,"High cholesterol is serum total cholesterol greater than or equal to 240 mg/dL (6.20 mmol/L), regardless of whether the respondent reported taking cholesterol-lowering medications. See Sources and Definitions, Cholesterol, available from: https://www.cdc.gov/nchs/hus/sources-definitions/cholesterol.htm."
FN0006,"Hypercholesterolemia is measured serum total cholesterol greater than or equal to 240 mg/dL (6.20 mmol/L) or taking cholesterol-lowering medications. See Sources and Definitions, Cholesterol, available from: https://www.cdc.gov/nchs/hus/sources-definitions/cholesterol.htm."
FN0019,"Age-adjusted rates are calculated using the year 2000 standard population with unrounded population numbers. See Sources and Definitions, Age adjustment, available from: https://www.cdc.gov/nchs/hus/sources-definitions/age-adjustment.htm."
FN0020,"Age-adjusted rates are calculated using the year 2000 standard population. Starting with 2001 data, unrounded population numbers are used to calculate age-adjusted rates. Before 2001 data, age-adjusted rates were calculated using standard million proportions based on rounded population numbers. See Sources and Definitions, Age adjustment, available from: https://www.cdc.gov/nchs/hus/sources-definitions/age-adjustment.htm."
FN0026,"Estimates are age adjusted to the year 2000 standard population using five age groups: 18-44, 45-54, 55-64, 65-74, and 75 and older. Estimates for adults ages 18-64 are age adjusted to three age groups: 18-44, 45-54, and 55-64. Estimates for adults age 65 and older are age adjusted to two age groups: 65-74 and 75 and older. Age-adjusted estimates in this table may differ from other age-adjusted estimates based on the same data and presented elsewhere if different age groups are used in the adjustment procedure. See Sources and Definitions, Age adjustment, available from: https://www.cdc.gov/nchs/hus/sources-definitions/age-adjustment.htm."
FN0027,"Estimates are age adjusted to the year 2000 standard population using five age groups: 20–34 years, 35–44 years, 45–54 years, 55–64 years, and 65 years and older. Age-adjusted estimates in this table may differ from other age-adjusted estimates based on the same data and presented elsewhere if different age groups are used in the adjustment procedure. See Sources and Definitions, Age adjustment, available from: https://www.cdc.gov/nchs/hus/sources-definitions/age-adjustment.htm."
FN0032,"Estimates are age adjusted to the year 2000 standard population using four age groups: 18 years and younger, 18–44 years, 45–64 years, and 65 years and older. Age-adjusted estimates in this data set may differ from other age-adjusted estimates based on the same data and presented elsewhere if different age groups are used in the adjustment procedure. See Sources and Definitions, Age adjustment, available from: https://www.cdc.gov/nchs/hus/sources-definitions/age-adjustment.htm."
FN0033,"Estimates are age-adjusted to the year 2000 standard population using six age groups: younger than 18 years, 18-44 years, 45-54 years, 55-64 years, 65-74 years, and 75 years and older. See Sources and Definitions, Age adjustment, available from: https://www.cdc.gov/nchs/hus/sources-definitions/age-adjustment.htm."
FN0042,"Estimates of education are for people aged 25-64. GED is General Educational Development high school equivalency diploma. See Sources and Definitions, Education, available from: https://www.cdc.gov/nchs/hus/sources-definitions/education.htm."
FN0046,"Rates are age-adjusted to the year 2000 standard population using six age groups: younger than 18 years, 18-24 years, 25-44 years, 45-64 years, 65-74 years, and 75 years and older. See Sources and Definitions, Age adjustment, available from: https://www.cdc.gov/nchs/hus/sources-definitions/age-adjustment.htm."
FN0047,Data for the territories are shown by race and Hispanic origin only if race-specific data are available for all years in the 3-year period. Linked birth/infant death data are not available for American Samoa and Northern Marianas.
FN0048,Estimates for territories are shown by race and Hispanic-origin only if race-specific data are available for all years in the 3-year period.
FN0049,"The race groups White, Black, American Indian and Alaska Native, Asian, and Native Hawaiian or Other Pacific Islander include people of Hispanic and non-Hispanic origin. People of Hispanic origin may be of any race. Starting with 2018 mortality data, race on death records is available based on the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity” and presented as single-race estimates (only one race was reported on the death certificate). These estimates include separate estimates for Asian and Native Hawaiian or Other Pacific Islander categories. States transitioned from 1977 to 1997 Office of Management and Budget standards during 2003-2017. During this period, race data were bridged to retain comparability with the 1977 Office of Management and Budget standards, which included a combined Asian or Pacific Islander category. Both single- and bridged-race estimates are presented for 2018 and 2019. Single-race estimates for 2018 and beyond are not completely comparable with bridged-race estimates for earlier years, particularly for the smaller race categories. Starting with 2020 data, bridged-race estimates are no longer available. See Sources and Definitions, Hispanic origin; Race, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0051,"Estimates by racial group should be used with caution because information on race was collected from medical records and race is imputed for records missing that information. In 2018, race data were missing and imputed for 29% of physician visits and 21% of emergency department visits. Information on the race imputation process used in each data year is available in the file documentation, available from: https://www.cdc.gov/nchs/ahcd/index.htm. Estimates for race in this table are for visits where only one race was recorded. Because of the small number of responses with more than one racial group recorded, estimates for visits with multiple races recorded are unreliable and not presented."
FN0054,"People of Hispanic or Mexican origin may be of any race. Starting with 1999 data, race-specific estimates are tabulated according to the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity” and are not strictly comparable with estimates for earlier years. The non-Hispanic race categories shown follow the 1997 standards. Starting with 1999 data, race-specific estimates are for people who reported only one racial group. For data before 1999, estimates are tabulated according to the 1977 standards. Estimates for single-race categories before 1999 include people who reported one race or, if they reported more than one race, identified one race as best representing their race. Data for Hispanic people are available starting with 2007-2008 and for Asian people starting with 2011-2012. See Sources and Definitions, Hispanic origin; Race, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0055,"People of Hispanic origin may be of any race. See Appendix II, Hispanic origin, available from: https://www.cdc.gov/nchs/data/hus/hus17_appendix.pdf."
FN0063,"The race and Hispanic-origin specific rates for 2015 exclude data from Rhode Island, which did not report race or Hispanic origin of mother on the fetal death report in that year. Rates for All mothers include data from Rhode Island."
FN0064,"The race groups White, Black, American Indian and Alaska Native, Asian, Native Hawaiian or Other Pacific Islander, and two or more races include people of Hispanic and non-Hispanic origin. People of Hispanic origin may be of any race. Starting with 1999 data, race-specific estimates are tabulated according to the 1997 ""Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity"" and are not strictly comparable with estimates for earlier years. The race-specific estimates are for people who reported only one racial group; the category two or more races includes people who reported more than one racial group. Starting with 2003 data, race responses of other race and unspecified multiple race are treated as missing, and then race is imputed if these were the only race responses. Most people with a race response of other race are of Hispanic origin. See Sources and Definitions, Hispanic origin; Race, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0067,"The race groups White, Black, American Indian or Alaska Native, Asian or Pacific Islander, Asian, Native Hawaiian or Other Pacific Islander, and 2 or more races include people of Hispanic and non-Hispanic origin. People of Hispanic origin may be of any race. Starting with 1999 data, race-specific estimates are tabulated according to the 1997 ""Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity"" and are not strictly comparable with estimates for earlier years. The race-specific estimates are for people who reported only one racial group; the category 2 or more races includes people who reported more than one racial group. These data include separate estimates for Asian and Native Hawaiian or Other Pacific Islander groups. For data before 1999, estimates are tabulated with four racial groups according to the 1977 standards and include a combined Asian or Pacific Islander category. Estimates for single-race categories before 1999 include people who reported one race or, if they reported more than one race, identified one race as best representing their race. Starting with 2003 data, race responses of other race and unspecified multiple race are treated as missing, and then race is imputed if these are the only race responses. Almost all people with a race response of other race are of Hispanic origin. See Sources and Definitions, Hispanic origin; Race, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0069,"FPL is federal poverty level. Poverty level is based on the ratio of the family's income in the previous calendar year to the appropriate poverty threshold defined by the U.S. Census Bureau. Missing family income data are imputed for 1997 and beyond. See Sources and Definitions, Family income; Poverty, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0091,"Insured includes private, Medicaid, and other insurance coverage. People who reported both Medicaid and private coverage are classified as having private coverage. Starting with 1997 data, state-sponsored health plan coverage is included as Medicaid coverage. Starting with 1999 data, coverage by the Children's Health Insurance Program (CHIP) is included as Medicaid coverage. In addition to private and Medicaid, the insured category includes military plans, other government-sponsored health plans, and Medicare. People not covered by private insurance, Medicaid, CHIP, state-sponsored or other government-sponsored health plans (starting in 1997), Medicare, or military plans are considered to have no health insurance coverage. People with only Indian Health Service coverage are considered to have no health insurance coverage. See Sources and Definitions, Health insurance coverage, available from: https://www.cdc.gov/nchs/hus/sources-definitions/health-insurance-coverage.htm."
FN0101,"Children's Health Insurance Program includes Medicaid program expansions. See Sources and Definitions, Children's Health Insurance Program (CHIP), available from: https://www.cdc.gov/nchs/hus/sources-definitions/chip.htm."
FN0102,"Functional limitation is defined by the reported level of difficulty in six domains of functioning: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Respondents with answers to one or more of the six questions are included in one of three mutually exclusive categories. Adults who respond ""a lot of difficulty"" or ""cannot do at all/unable to do""  to at least one question are classified in the ""a lot of difficulty or cannot do at all"" category. Of the remaining respondents, adults who respond ""some difficulty"" to at least one question are classified in the ""some difficulty"" category, and adults who respond ""no difficulty""  to all questions are classified in the ""no difficulty"" category. Adults who respond ""don't know"" or ""refused"" to all six questions are excluded. During 2010-2019, 0%-8% of respondents were missing data and excluded. See Sources and Definitions, Functional limitation, available from: https://www.cdc.gov/nchs/hus/sources-definitions/functional-limitation.htm."
FN0114,"Estimates are for people aged 2 and older. Nonreceipt of needed dental care due to cost is based on responses to questions about whether there was any time during the past 12 months when the respondent needed dental care but did not get it because of the cost. See Sources and Definitions, Unmet need, available from: https://www.cdc.gov/nchs/hus/sources-definitions/unmet-need.htm."
FN0115,"Nonreceipt of needed prescription drugs due to cost is based on responses to questions about whether there was any time during the past 12 months when the respondent needed prescription medicine but did not get it because of the cost. See Sources and Definitions, Unmet need, available from: https://www.cdc.gov/nchs/hus/sources-definitions/unmet-need.htm."
FN0116,"Delay or nonreceipt of needed medical care due to cost is based on responses to questions about whether there was any time during the past 12 months when the respondent needed medical care but delayed or did not get it because of the cost. See Sources and Definitions, Unmet need, available from: https://www.cdc.gov/nchs/hus/sources-definitions/unmet-need.htm."
FN0124,"Community hospitals are nonfederal short-term general and special hospitals whose facilities and services are available to the public. The types of facilities included in this category have changed over time. See Sources and Definitions, Hospital, available from: https://www.cdc.gov/nchs/hus/sources-definitions/hospital.htm."
FN0131,"Outpatient visits include visits to the emergency department, outpatient department, referred visits (pharmacy, EKG, radiology), and outpatient surgery. See Sources and Definitions, Outpatient visit, available from: https://www.cdc.gov/nchs/hus/sources-definitions/outpatient-visit.htm."
FN0143,"Before 1995, data are shown only for states with a Hispanic-origin item on their birth certificates. See Sources and Definitions, Hispanic origin, available from: https://www.cdc.gov/nchs/hus/sources-definitions/hispanic-origin.htm."
FN0145,"Before 1997 data, estimates for Hispanic origin and race do not include data from states that did not report Hispanic origin on the death certificate. See Sources and Definitions, Hispanic origin, available from: https://www.cdc.gov/nchs/hus/sources-definitions/hispanic-origin.htm."
FN0156,Drug overdose deaths involving any opioid includes deaths with an underlying cause of drug overdose and an opioid mentioned in ICD-10 multiple causes of death. The Any opioid category is defined by multiple cause-of-death codes T40.0-T40.4 and T40.6.
