question,gold,category
"62세 남자 환자가 3개월 전부터 시작된 전신 가려움증을 주소로 내원하였다. 환자는 특별한 피부 발진은 없으나 밤에 특히 가려움이 심해져 수면에 방해를 받는다고 호소한다. 최근 6개월 동안 체중이 5kg 감소했으며 쉽게 피로해진다고 한다. 과거력상 고혈압으로 약물 복용 중이며, 1년 전부터 혈당이 약간 높아 식이조절 중이다. 신체검진에서 피부는 건조하고 긁힌 자국이 등과 사지에 관찰되며, 우상복부에 압통 없이 촉진되는 간비대(2cm)가 있다. 이 환자의 가려움증 원인으로 가장 가능성이 높은 것은?

혈액검사: WBC 5,500/μL, Hb 11.2g/dL, Platelet 240,000/μL, AST 85U/L, ALT 92U/L, ALP 420U/L, γ-GT 380U/L, 총 빌리루빈 2.8mg/dL, 직접 빌리루빈 1.9mg/dL, BUN 18mg/dL, Cr 0.9mg/dL, Na 138mEq/L, K 4.1mEq/L, 공복혈당 130mg/dL

A. 당뇨병
B. 약물 부작용
C. 원발성 담즙성 담관염
D. 만성 신부전
E. 건조피부증(노인성 소양증)",C,Gastroenterology
"45세 여성이 3주 전부터 시작된 전신 가려움증으로 내원하였다. 환자는 특히 저녁과 밤에 가려움이 심해진다고 호소하며, 최근 정형외과에서 고관절 통증으로 진통소염제를 복용 중이다. 신체 검진에서 눈과 피부의 황달이 관찰되며, 복부 진찰에서 우상복부에 경도의 압통이 있다. 이 환자에게 시행할 가장 적절한 다음 검사는?

혈액검사: AST 120 U/L, ALT 135 U/L, ALP 180 U/L, 총 빌리루빈 4.5 mg/dL, 직접 빌리루빈 3.2 mg/dL

A. 항핵항체(ANA) 검사
B. 복부 초음파 검사
C. 경피적 간 조직검사
D. 약물 유발성 간 손상 가능성에 대한 약물력 재평가
E. 내시경적 역행성 담췌관조영술(ERCP)",D,Gastroenterology
"72세 남자 환자가 2개월 전부터 시작된 전신 가려움증과 피부 발진을 주소로 내원하였다. 환자는 손등과 전완부의 가려움증이 특히 심하며, 밤에 악화되어 수면장애가 있다고 한다. 과거력상 고혈압, 당뇨병, 고지혈증으로 약물 복용 중이다. 신체 검진에서 손등, 전완부, 복부, 다리에 다수의 홍반성 구진과 판, 일부는 미란과 각질을 동반하고 있다. 몸통에는 다수의 원형 또는 타원형의 홍반성 인설성 판이 관찰된다. 이 환자에게서 가장 가능성이 높은 진단은?

일반혈액검사: WBC 7,800/μL (호산구 15%), Hb 13.5g/dL, Platelet 230,000/μL, 혈액화학검사: BUN 22mg/dL, Cr 1.1mg/dL, AST 35U/L, ALT 42U/L, 총 IgE 950 IU/mL (정상: <100 IU/mL), 피부생검: 표피의 해면화, 상부 진피의 혈관 주위 림프구 침윤, 다수의 호산구 침윤

A. 약물 발진
B. 만성 단순 태선
C. 접촉성 피부염
D. 노인성 건조피부증
E. 수포성 유천포창",B,Dermatology
"38세 여성이 2주 전부터 시작된 전신 가려움증과 피부 발진을 주소로 내원하였다. 환자는 발진이 처음에는 복부에 시작하여 점차 전신으로 퍼졌으며, 소양감이 심해 수면에 방해를 받는다고 한다. 또한, 환자는 최근 3주 전 임신 진단을 받았다. 신체 검진에서 복부, 등, 사지에 다수의 홍반성 구진과 소수의 수포가 관찰되며, 배꼽 주위와 사지 신전부에 병변이 더 많이 분포해 있다. 이 환자에게 가장 적절한 치료 계획은?

혈액검사: WBC 6,500/μL, Hb 13.2g/dL, Platelet 210,000/μL, Total bilirubin 0.8mg/dL, AST 32U/L, ALT 28U/L, ALP 105U/L, 혈청 담즙산 18μmol/L (정상: <10μmol/L), 피부생검: 표피 내 소수의 호산구, 진피 부종 및 혈관 주위 림프구와 호산구 침윤

A. 국소 칼시뉴린 억제제 도포
B. 경구 항히스타민제와 중등도 강도의 국소 스테로이드 도포
C. 경구 프레드니솔론 투여
D. 우르소데옥시콜산(ursodeoxycholic acid) 경구 투여
E. 광선요법(UVB)",D,Obstetrics
"55세 남자 환자가 3개월 전부터 시작된 전신 가려움증을 주소로 내원하였다. 환자는 특히 밤에 가려움이 심해지며, 목욕 후에도 호전되지 않는다고 한다. 신체검진에서 피부는 전반적으로 건조하고 긁은 흔적이 관찰되나 특별한 발진은 없다. 환자는 최근 6개월 동안 4kg의 체중 감소와 식은땀, 전신 무력감이 있었다고 한다. 혈액검사에서 빈혈(Hb 10.2g/dL)과 호산구 증가(12%)가 관찰되었다. 이 환자에게 가려움증의 원인 진단을 위해 추가로 시행해야 할 가장 적절한 검사는?

혈액검사: WBC 9,200/μL (호산구 12%), Hb 10.2g/dL, MCV 88fL, Platelet 400,000/μL, ESR 45mm/hr, CRP 2.5mg/dL, BUN 15mg/dL, Cr 0.9mg/dL, AST 28U/L, ALT 32U/L, ALP 95U/L

A. 흉부 및 복부 CT 검사
B. 피부 첩포 검사
C. 갑상선 기능 검사
D. 심초음파 검사
E. 위내시경 검사",A,Hematology and Oncology
"68세 여성이 6주 전부터 지속된 전신 가려움증으로 내원하였다. 환자는 피부 발진 없이 가려움만 있으며, 특히 밤에 증상이 심해진다고 호소한다. 최근 3개월간 2kg의 체중 감소와 식은땀이 있었고, 간헐적인 복부 불편감도 호소한다. 신체 검진에서 피부는 건조하고 긁은 자국이 관찰되나 특별한 발진은 없으며, 복부 촉진 시 좌상복부에 압통 없는 비장 비대(2cm)가 확인된다. 이 환자의 가려움증 원인으로 가장 가능성이 높은 것은?

CBC: WBC 12,500/μL (호중구 55%, 림프구 30%, 호산구 3%, 단핵구 4%, 호염기구 8%), Hb 18.2g/dL, Hct 54%, MCV 90fL, Platelet 650,000/μL, 혈액도말검사: 적혈구 증가, 과립구 증가, 혈소판 증가, 간 기능 및 신장 기능 검사는 정상 범위

A. 당뇨병
B. 만성 신부전
C. 원발성 담즙성 담관염
D. 진성 적혈구증가증
E. 약물 부작용",D,Hematology and Oncology
"35세 여성이 전신에 발생한 가려운 발진으로 내원하였다. 환자는 3일 전부터 갑자기 시작된 가려움증과 함께 팽진이 전신에 나타났다고 한다. 발진은 하루에도 여러 번 나타났다 사라졌다를 반복하며, 피부를 긁으면 더 심해지는 경향이 있다고 호소한다. 과거력상 환자는 2주 전 감기로 항생제(아목시실린)를 복용했으며, 평소 꽃가루 알레르기가 있다. 신체 검진에서 전신에 다양한 크기의 홍반성 팽진이 관찰되며, 일부는 환상 형태로 나타나고 있다. 이 환자에게 가장 적절한 치료 계획은?

혈액검사: WBC 8,200/μL(호산구 6%), IgE 280 IU/mL(정상: <100 IU/mL), 간 및 신장 기능 검사는 정상 범위

A. 페니실린 알레르기 피부 검사 후 탈감작 요법
B. 2세대 항히스타민제 투여와 항생제 중단
C. 경구 스테로이드와 항히스타민제 병합 투여
D. 국소 스테로이드 도포와 항히스타민제 투여
E. 항생제 유지 및 1세대 항히스타민제 투여",B,Allergy and Immunology
"70세 남성이 2개월 전부터 시작된 전신 가려움증을 주소로 내원하였다. 환자는 특히 목욕 후에 가려움증이 심해지며, 밤에도 증상이 악화된다고 한다. 피부는 건조하고 일부 긁은 자국이 있으나 특별한 발진은 없다. 최근 식욕 부진과 약 5kg의 체중 감소가 있었으며, 전반적인 피로감을 호소한다. 과거력상 5년 전 고혈압 진단받고 약물 복용 중이다. 신체 검진에서 피부가 창백하고 비장이 촉지되며, 다른 특이 소견은 없다. 다음 중 이 환자의 가려움증의 원인으로 가장 가능성이 높은 질환은?

검사 결과 헤모글로빈 17.8 g/dL, 적혈구용적률 55%, 백혈구 12,000/µL, 혈소판 450,000/µL, 간기능과 신장 기능은 정상이었다. 적혈구 질량 측정: 증가
동맥혈 산소포화도: 96%
JAK2 V617F 돌연변이 검사: 양성
부검 초음파: 비장 비대 확인
골수 생검: 과형성, 거대핵세포 증가

A. 특발성 폐섬유증
B. 만성 림프구성 백혈병
C. 원발성 진성 적혈구증가증
D. 아토피 피부염
E. 원발성 담즙성 담관염",C,Hematology and Oncology
"60세 남성 환자가 3개월 전부터 시작된 전신 가려움증을 주소로 내원하였다. 환자는 특별한 피부 병변 없이 가려움증만 있으며, 밤에 특히 심해진다고 호소한다. 환자는 20년 전부터 고혈압으로 약물 복용 중이며, 10년 전부터 당뇨병으로 경구 혈당강하제를 복용 중이다. 혈압은 160/100mmHg로 측정되었다. 신체 검진에서 피부는 건조하고 긁은 자국이 있으나 특별한 발진은 없다. 얼굴과 다리에 부종이 경도로 관찰되며 안색이 창백하다. 이 환자에게 가려움증의 원인 진단을 위해 우선적으로 시행해야 할 검사는?

A. 혈청 IgE 및 알레르기 패널 검사
B. 갑상선 기능 검사
C. 혈액요소질소, 크레아티닌 및 사구체 여과율 검사
D. 간 기능 검사 및 혈청 빌리루빈 검사
E. 흉부 X선 및 복부 초음파 검사",C,Nephrology
"65세 남자 환자가 3개월 전부터 시작된 전신 가려움증으로 내원하였다. 환자는 특별한 피부 발진 없이 가려움증만 있으며, 주로 머리, 얼굴, 목에 심한 가려움을 호소한다. 과거력상 고혈압, 당뇨병이 있으며, 내원 1개월 전 종합검진에서 갑상선 기능 저하증으로 레보티록신 50mcg을 복용 중이다. 신체 검진에서 피부는 건조하고 꺼칠꺼칠하며, 긁은 자국이 전신에 관찰된다. 이 환자에게 가장 적절한 치료 계획은?

혈액검사: WBC 6,200/μL, Hb 13.5g/dL, Platelet 210,000/μL, AST 30U/L, ALT 28U/L, ALP 95U/L, 총 빌리루빈 0.8mg/dL, BUN 18mg/dL, Cr 0.9mg/dL, 갑상선 기능검사: TSH 12.5mIU/L(정상: 0.4-4.0mIU/L), Free T4 0.8ng/dL(정상: 0.8-1.8ng/dL)

A. 레보티록신 용량을 25mcg으로 감량
B. 레보티록신 용량을 75mcg으로 증량
C. 2세대 항히스타민제 추가
D. 국소 스테로이드 도포
E. 보습제 도포와 항히스타민제 지속",B,Endocrinology
