Risk,Alternate Name,Lay Language,Revised
Abdominal Cramps,,"Stomach cramps, pain in the abdomen due to cramping",2/19/2015 11:17
Abdominal Distention,,"Feeling of fullness and tightness in the abdomen, bloating",2/10/2015 17:30
Abnormal Glomerular filtration rate,Abnormal GFR,"An abnormal kidney function test which may indicate that your kidneys are not working properly. When the kidneys do not work properly, wastes can build up in your blood, leading to swelling in the arms and legs, tiredness and weakness. This could become severe, requiring hospitalization and dialysis to clean the wastes out of your blood. If the wastes are not removed from your blood, this could cause seizures and be life threatening.",2/27/2015 13:31
Abnormal Kidney Function Test,,"Abnormal kidney function tests, which means the kidneys aren   t working properly. When the kidneys do not work properly, wastes can build up in your blood, leading to swelling in the arms and legs, tiredness and weakness. This could become severe, requiring hospitalization and dialysis to clean the wastes out of your blood. If the wastes are not removed from your blood, this could cause seizures and be life threatening.",2/27/2015 13:52
Abnormal Liver Function Test,"increased liver enzyme, Abnormal LFT","Abnormally high levels of enzymes produced by the liver meaning that your liver is not functioning properly and can cause fatigue, and jaundice (yellowing of the skin and eyes). Although this is usually mild and reversible, this can be serious or life threatening.",2/27/2015 13:51
Acneiform Rash,,Acne; pimples,2/10/2015 17:30
ACTH deficiency,,"Abnormal production of the hormone that stimulates the adrenal gland. This can result in fatigue, low blood pressure, low sugar levels in the blood (hypoglycemia) and low stress tolerance. This can be a serious and life threatening condition requiring medical intervention.",2/10/2015 17:30
Acute cholecystitis,,"Gall stones, which may cause upper abdominal pain and require hospitalization and surgery",2/10/2015 17:30
Acute Kidney Failure,"kidney failure, renal failure","Kidney failure which is when both of your kidneys fail and your body holds fluid which can be serious or life threatening. Your blood pressure rises and harmful wastes build up in your body. You may experience fatigue, nausea, and loss of appetite. When this happens, you need treatment to replace the work of your failed kidneys such as dialysis.",2/10/2015 17:30
Acute Neuropathy,,"Acute pain on eating something cold, breathing cold air, or touching something cold. There may be a sensation of the throat closing. This occurs shortly after the study treatment is given and disappears within days.",2/10/2015 17:30
Acute Phase Response,,"A reaction in which certain proteins in the body are increased as a result of inflammation. This may cause flu like symptoms with fever, occasionally swelling, and rarely damage to body organs",2/10/2015 17:30
acute renal failure,"kidney failure, renal failure","Kidney failure which is when both of your kidneys fail and your body holds fluid which can be serious or life threatening. Your blood pressure rises and harmful wastes build up in your body. You may experience fatigue, nausea, and loss of appetite. When this happens, you need treatment to replace the work of your failed kidneys such as dialysis.",2/10/2015 17:30
Acute vascular leak syndrome,,Condition in which fluid leaks out of tiny blood vessels and may cause low blood pressure.,2/10/2015 17:30
Adenopathy,lymph node changes,Swollen lymph nodes,2/27/2015 13:53
ADH secretion abnormality,"SIADH, low ADH",Abnormal production of the hormone that regulates salt and fluid excretion. Excess ADH causes water retention and decreased sodium levels in the blood. Insufficient ADH causes excessive urination and dehydration.,2/27/2015 13:33
Adrenal Suppression,,"Decreased production of steroids by the body, which may cause weakness, confusion, fatigue, listlessness, low blood pressure, dizziness, weight loss, and loss of appetite. May also cause abdominal cramps, nausea, vomiting and diarrhea and changes in electrolytes (body salts). Symptoms may be worse at times of stress, such as high fevers, infection, surgery or a serious accident. If your adrenal glands do not produce enough hormones, you will need to take oral medications to replace the hormones",2/27/2015 13:33
Adult Respiratory Distress Syndrome,ARDS,Severe life-threatening damage to the lungs which can lead to fluid in the lungs and difficulty breathing which may require assistance with breathing,2/27/2015 13:24
Alcohol Intolerance Syndrome,,Unwanted reaction to drinking alcohol,5/26/2016 11:20
alkaline phosphatase,ALK PHOS,"Elevation of alkaline phosphatase, an enzyme of liver and bone, might indicate damage to liver or bone. You may experience no symptoms related to this abnormal laboaratory finding.",2/10/2015 17:30
Alkalosis,,Condition where the blood pH (a measure of how acidic or basic something is) is too basic. May manifest through mental stupor &amp; require treatment and/or hospitalization.,2/10/2015 17:30
Allergic Reaction,"hypersensitivity reaction, infusion reaction","Allergic reaction that may include a rash, hives, fever, difficulty breathing, and low blood pressure. Although usually reversible with treatment, it can be severe or life threatening.",5/26/2016 11:20
Allergic rhinitis,,Inflammation of the nasal passageway due to allergies. This generally causes a stuffy or runny nose and sneezing.,2/10/2015 17:30
Alopecia,,Hairloss,2/10/2015 17:30
Altered mental state,,Not thinking clearly,2/10/2015 17:30
Anaphylaxis,allergic reaction,"Allergic reaction that may include a rash, hives, fever, difficulty breathing, and low blood pressure. Although usually reversible with treatment, it can be severe or life threatening.",5/26/2016 10:58
Anasarca,,"Build up of fluid throughout the whole body, which occurs in severely ill people.",2/10/2015 17:30
Anemia,,Low number of red blood cells that can causes tiredness and shortness of breath. May require a blood transfusion.,2/10/2015 17:30
Angina,,Pain in the chest which may radiate to the jaw or arm resulting from insufficient blood to the heart. This is serious and should lead one to seek immediate medical attention.,2/10/2015 17:30
Angioedema,edema,"Swelling that happens just below the surface of the skin, most often around the lips and eyes. When you have an allergic reaction, your body produces histamine, which causes blood vessels to swell. Angioedema is a deeper swelling.",2/10/2015 17:30
Anorexia,,Loss of appetite and weight loss,2/10/2015 17:30
Anxiety,,Anxiety,2/11/2015 16:03
"aorta, vessel injury-artery",,Damage to the main blood vessel that carries blood from the heart,2/10/2015 17:30
Aplastic anemia,,"A disorder caused by decreased production of red blood cells, white blood cells and platelets which may cause anemia, infection and bleeding. This may be serious or life-threatening without treatment.",2/10/2015 17:30
Apnea,,Breathing suddenly stops,2/10/2015 17:30
arachnoiditis,"meningismus, radiculitis",Inflammation of the linings of the brain which may cause a headache.,2/19/2015 14:12
areolar deformity,breast nipple deformity,Deformed nipple,2/27/2015 14:22
Arrhythmia,abnormal heartbeat,Any change from the normal heartbeat (abnormal heartbeat) which may be serious or life-threatening.,5/26/2016 11:08
Arterial thrombosis,,Blood clot in an artery that blocks the artery. This could be serious and life threatening.,2/10/2015 17:30
Arthralgia,,Joint pain,2/10/2015 17:30
Ascites,,"Build up of fluid in the abdomen, which causes bloating and discomfort. This could require that the fluid be removed by a procedure called paracentesis",2/10/2015 17:30
aspiration,,Accidental breathing in of food or fluid into the lungs,2/10/2015 17:30
Asthenia,,Feeling weak and having no energy,2/10/2015 17:30
Asthma,,A lung disease associated with tightening of the air passages,2/10/2015 17:30
Asystole,cardiac arrest,"Sudden, unexpected stopping of the heart. This is serious and life-threaning.",2/10/2015 17:30
Ataxia,,"Loss of muscle coordination including awkward, unsteady walking",2/10/2015 17:30
Atelectasis,,Small areas of collapsed lung which may cause no sypmtoms,2/10/2015 17:30
Atrial fibrillation,afib,Irregular heartbeat that is rapid,5/12/2016 15:00
Atrial flutter,,Irregular heartbeat that is rapid,5/12/2016 14:49
"Atrophy, skin",,Thinning of skin,2/10/2015 17:30
"atrophy, subcutaneous fat",,Loss of fat under the skin,2/10/2015 17:30
autoimmune enteritis,autoimmune reaction,"This is when your immune system attacks normal cells in your body, including the cells that line your digestive tract. This may result in bleeding and inflammation of the esophagus, bowel (intestines), and lower GI tract (colon), diarrhea and perforations (holes). Hospitalization and treatment with medications (steroids) may be necessary. This can become severe and life-threatening and may require surgical removal of parts of the intestines or colon. These surgical procedures might result in your having a stoma (hole) though which digested food passes.",2/19/2015 14:09
autoimmune reaction,autoimmune enteritis,"Condition where the body's immune system attacks normal tissues which could result in damage to the organs such as skin, colon or intestinal tract, liver and endocrine organs such as thyroid or adrenal glands.",2/19/2015 14:10
AV Block-First degree,,Irregular heartbeat that is slow due to impaired electrical conduction across the heart.,5/12/2016 15:01
AV Block-Second degree Mobitz Type I (Wenckebach),,Irregular heartbeat that is slow due to impaired electrical conduction across the heart.,5/12/2016 15:01
AV Block-Second degree Mobitz Type II,,Irregular heartbeat that is slow due to impaired electrical conduction across the heart.,5/12/2016 15:01
AV Block-Third degree (Complete AV block),,Irregular heartbeat that is slow due to impaired electrical conduction across the heart.,5/12/2016 15:02
Back pain,,Back pain,12/7/2015 14:31
Balance Disturbance,,Difficulty with balancing,5/26/2016 13:53
Bladder spasms,,Painful bladder cramps,2/10/2015 17:30
Bleeding in the Lungs,,Bleeding in the lungs. May manifest via coughing up blood. Can be serious or life threatening.,2/10/2015 17:30
Blisters on the skin,,Blisters on the skin,5/26/2016 13:03
Blood clots,,Blood clots can form leading to swelling in the arms and legs. These clots can travel to the lungs causing shortness of breath or to the brain causing a stroke. This may be serious or life threatening.,2/10/2015 17:30
Bone age alteration,,Irregular bone growth or development,2/10/2015 17:30
Bone marrow cellularity (decreased),,Fewer cells than normal in the spongy middle part of the bone (marrow) where blood cells are made,2/10/2015 17:30
Bowel perforation,,"Bowel perforation (a hole in the intestines) that could result in a serious, life-threatening infection and may require surgery",5/23/2016 14:03
Brachial plexopathy,,Impairment of nerves that affect the arm and hand which might also cause pain.,2/10/2015 17:30
Bradyarrhthmias,,Slow irregular heartbeat,5/12/2016 15:02
Bradycardia,,"Slow heart rate which can cause dizziness, fainting and tiredness.",2/10/2015 17:30
Brain stem edema,,"Accumulation of fluid (swelling) around the brain stem, this can be serious or life threatening.",2/10/2015 17:30
"Bronchospasm, wheezing",,Breathing distress caused by narrowing of the airways,2/10/2015 17:30
